com.samsung.shealth.vitality_score,6307003,3
activity_level,activity_score,create_sh_ver,active_time_scale,activity_balance_short_term_activity,activity_balance_long_term_activity,shr_balance_scale,mvpa_time_optimal_range_max,mvpa_time_optimal_range_min,max_hr,active_time,shrv_balance_scale,main_sleep_wake_up_time,mvpa_impulse_optimal_range_max,mvpa_impulse_optimal_range_min,shr_baseline_max,shr_baseline_min,shr_calculation_index,mvpa_time,modify_sh_ver,sleep_balance,update_time,create_time,total_score,data_version,avg_mid_sleep_time,mvpa_time_range_max,mvpa_time_range_min,mvpa_impulse,shrv_calculation_index,sleep_regularity_scale,stable_hr_time_rate,active_time_optimal_range_max,active_time_optimal_range_min,sleep_timing,shr_score,shr_value,mvpa_impulse_scale,sleep_regularity,sleep_timing_scale,prev_shrv_avg,mvpa_time_scale,deviceuuid,sleep_score,sleep_duration_scale,activity_balance,activity_balance_range_max,activity_balance_range_min,mvpa_impulse_range_max,mvpa_impulse_range_min,pkg_name,sleep_balance_scale,shrv_score,shrv_value,sleep_duration,activity_balance_scale,active_time_range_max,active_time_range_min,shrv_baseline_max,shrv_baseline_min,datauuid,prev_shr_avg,day_time,shrv_penalty,activity_balance_optimal_range_max,activity_balance_optimal_range_min
-1,77.62445,62850050,98.13229,,,58.853485,,,189.0,3708327,80.3515,1733897820000,,,83.705925,79.300354,-1,0,62850050,3.7452278,2024-12-11 14:35:01.586,2024-12-11 14:35:01.586,79.11801,1,2.5566669,,,-1.0,-1,90.9082,0.4470135,,,21.633333,58.853485,93.10779,-1.0,0.4214525,78.166664,37.60619,76.37931,3sHRV5oxWU,100.0,86.399994,,,,,,com.sec.android.app.shealth,67.536644,80.3515,32.928455,32064000,,,,47.893517,34.346134,2e61f846-dfba-4f5a-9881-60162d682e90,88.1115,2024-12-11 00:00:00.000,0,,,
-1,88.88318,62850050,83.79053,,,88.015816,,,189.0,4575224,92.28959,1733984580000,,,83.199036,78.82014,-1,0,62850050,3.5769725,2024-12-12 14:39:05.422,2024-12-12 14:39:05.422,85.03882,1,2.69,,,-1.0,-1,90.651306,0.5885168,,,23.416666,88.015816,82.31864,-1.0,0.40312663,89.16666,37.27532,76.37931,3sHRV5oxWU,80.130714,83.6,,,,,,com.sec.android.app.shealth,66.357285,92.28959,42.196026,32904000,,,,47.44418,34.05147,d56ad93b-f57b-4c64-a1dd-ea072c9db057,87.577934,2024-12-12 00:00:00.000,0,,,
-1,89.32794,62850050,83.49402,,,77.535095,,,189.0,4601020,93.25151,1734070980000,,,82.988655,78.620834,-1,0,62850050,3.4014893,2024-12-13 14:31:36.706,2024-12-13 14:31:36.706,84.11989,1,2.7555554,,,-1.0,-1,90.55313,0.5164557,,,23.8,77.535095,86.2492,-1.0,0.3961231,92.99999,36.52865,76.37931,3sHRV5oxWU,87.48266,89.29167,,,,,,com.sec.android.app.shealth,65.12726,93.25151,35.079872,31370000,,,,46.431137,33.386265,b124ebc8-d97c-4433-aa27-600d20b66f1e,87.35648,2024-12-13 00:00:00.000,0,,,
-1,92.62964,62850050,81.292885,,,71.319786,,,189.0,4792519,91.70354,1734163770000,,,82.40883,78.071526,-1,0,62850050,3.3361852,2024-12-14 16:27:30.516,2024-12-14 16:27:30.516,83.1281,1,2.963889,,,-1.0,-1,95.28516,0.8213097,,,0.65,71.319786,87.81029,-1.0,0.73367506,98.5,35.93058,76.37931,3sHRV5oxWU,89.409134,87.3125,,,,,,com.sec.android.app.shealth,64.669525,91.70354,34.194485,31845000,,,,45.6207,32.853203,f718e25e-aead-43da-a78d-f0b387bdf863,86.74614,2024-12-14 00:00:00.000,0,,,
-1,72.23839,62850050,95.16943,,,53.73452,,,189.0,3319827,84.144745,1734250260000,,,84.25352,79.81912,-1,0,62850050,0.6814066,2024-12-15 16:26:38.367,2024-12-15 11:33:08.525,74.24057,1,3.1222222,,,-1.0,-1,95.5793,0.9875,,,23.066668,53.73452,96.37158,-1.0,0.75465626,85.66667,35.073746,76.37931,3sHRV5oxWU,91.00937,92.27083,,,,,,com.sec.android.app.shealth,94.55243,84.144745,31.845943,26945000,,,,44.46119,32.089108,7e23b2e1-56cd-4264-bb9c-235a230460cd,88.68791,2024-12-15 00:00:00.000,0,,,
-1,76.327614,62850050,99.922455,,,81.94104,,,189.0,3595502,97.80324,1734336000000,,,83.76898,79.36009,-1,0,62850050,0.6321483,2024-12-16 16:50:02.825,2024-12-16 16:50:02.825,85.92798,1,3.2761903,,,-1.0,-1,96.1304,0.47368422,,,0.4,81.94104,85.117645,-1.0,0.79396814,85.99999,35.318718,76.37931,3sHRV5oxWU,95.27771,92.51785,,,,,,com.sec.android.app.shealth,93.86189,97.80324,36.569473,27004285,,,,44.792503,32.307613,1d0986a0-6d5a-40e5-a1c4-2dcde9aad061,88.17788,2024-12-16 00:00:00.000,0,,,
-1,87.64148,62850050,64.71046,,,69.73425,,,189.0,5936794,94.69118,1734417360000,,,84.31773,79.87996,-1,0,62850050,0.9434295,2024-12-17 14:46:35.718,2024-12-17 08:13:33.561,84.816605,1,3.135714,,,-1.0,-1,98.2048,0.07304348,,,21.016666,69.73425,90.31339,-1.0,0.9419427,75.08333,35.13383,76.37931,3sHRV5oxWU,100.0,97.625,,,,,,com.sec.android.app.shealth,98.22565,94.69118,34.044643,28230000,,,,44.54243,32.142704,4795cfdf-b9b9-4917-a06c-870e74a24f68,88.75551,2024-12-17 00:00:00.000,0,,,
180003,45.941856,62850050,63.269714,,,65.62715,,,189.0,2359287,92.47986,1734502980000,,,84.06636,79.641815,-1,0,62850050,0.8904522,2024-12-18 14:45:18.584,2024-12-18 14:45:18.584,76.27506,1,3.1952379,,,-1.0,-1,97.28023,0.88357586,,,22.366667,65.62715,91.255615,-1.0,0.87598974,81.833336,35.252174,76.37931,3sHRV5oxWU,99.30272,96.26785,,,,,,com.sec.android.app.shealth,97.48297,92.47986,33.71275,27904285,,,,44.70249,32.248257,914dde4f-59ba-4575-9a5b-75ca97386bd6,88.490906,2024-12-18 00:00:00.000,0,,,
180003,53.784454,62850050,76.35166,,,72.18418,,,189.0,3955189,98.43685,1734589170000,,,85.17689,80.69389,-1,0,62850050,0.848386,2024-12-19 14:51:18.634,2024-12-19 14:51:18.634,79.0555,1,3.1547618,,,-1.0,-1,97.547226,0.66741824,,,22.933332,72.18418,90.501434,-1.0,0.89503527,84.666664,34.35184,76.37931,3sHRV5oxWU,95.32115,97.17856,,,,,,com.sec.android.app.shealth,96.893265,98.43685,35.206318,28122857,,,,43.48573,31.444979,7665c2d2-74ba-4ded-a131-07e732d3c7c4,89.65988,2024-12-19 00:00:00.000,0,,,
180003,66.63426,62850050,89.5653,,,67.89679,,,189.0,5989575,97.84242,1734677280000,,,86.05651,81.52722,-1,0,62850050,0.8878222,2024-12-20 15:04:38.122,2024-12-20 10:44:05.816,76.73786,1,3.152381,,,-1.0,-1,97.550156,0.9401042,,,23.35,67.89679,92.73064,-1.0,0.89524424,88.5,34.426144,76.37931,3sHRV5oxWU,81.89474,96.785706,,,,,,com.sec.android.app.shealth,97.446106,97.84242,35.614414,28028571,,,,43.58607,31.511293,180bcc28-6748-459d-bd28-de8051d5bdd1,90.5858,2024-12-20 00:00:00.000,0,,,
